#,BPM,Genres,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Camelot,Duration_sec,Genre,genre_encoded,Key_encoded,Camelot_encoded,Has_Tekno,Has_Acid,Has_Industrial,Has_Rave,Has_Warehouse,Has_Minimal,Has_Trance,Has_House,Has_Bass,Has_Dark
49,135,"big room, techno, hard techno, acid techno, hypertechno",61,91,2,48,4,0,10,-7,B Minor,4,10A,204.0,Hard Techno,0,5,0,0,1,0,0,0,0,0,0,0,0
50,75,"hard techno, acid techno, techno, tekno, hardcore techno",60,100,2,79,32,10,20,-6,B Minor,4,10A,400.0,Hard Techno,0,5,0,1,1,0,0,0,0,0,0,0,0
51,150,"hard techno, acid techno, techno, tekno, hardcore techno",67,98,0,78,45,0,40,-9,B Minor,4,10A,361.0,Hard Techno,0,5,0,1,1,0,0,0,0,0,0,0,0
52,135,"big room, techno, hard techno, acid techno, hypertechno",60,91,2,15,51,10,20,-8,G#/A♭ Major,4,4B,274.0,Hard Techno,0,22,13,0,1,0,0,0,0,0,0,0,0
53,143,"hard techno, techno, acid techno",59,94,0,81,26,0,0,-6,C♯/D♭ Major,4,3B,352.0,Hard Techno,0,8,11,0,1,0,0,0,0,0,0,0,0
54,150,hard techno,60,84,0,91,48,10,10,-8,A#/B♭ Minor,4,3A,203.0,Hard Techno,0,3,10,0,0,0,0,0,0,0,0,0,0
55,130,"big room, techno, hard techno, acid techno, hypertechno",63,91,4,84,27,0,40,-5,G#/A♭ Minor,4,1A,163.0,Hard Techno,0,23,6,0,1,0,0,0,0,0,0,0,0
56,150,"hard techno, techno, acid techno, tekno, hardcore techno",62,99,0,76,40,10,10,-6,A#/B♭ Minor,4,3A,308.0,Hard Techno,0,3,10,1,1,0,0,0,0,0,0,0,0
57,136,"techno, acid techno, hard techno, tekno, minimal techno",65,99,5,23,4,10,10,-6,F#/G♭ Minor,4,11A,284.0,Hard Techno,0,19,2,1,1,0,0,0,1,0,0,0,0
58,144,"hard techno, techno, tekno, ",72,100,0,12,20,10,20,-6,B Major,4,1B,146.0,Hard Techno,0,4,7,1,0,0,0,0,0,0,0,0,0
59,150,"hard techno, techno, acid techno, tekno, hardcore techno",57,99,0,85,7,0,10,-7,C♯/D♭ Major,4,3B,354.0,Hard Techno,0,8,11,1,1,0,0,0,0,0,0,0,0
60,135,"hard techno, techno, tekno, acid techno, hardcore techno",57,100,0,69,67,0,20,-6,A#/B♭ Minor,4,3A,218.0,Hard Techno,0,3,10,1,1,0,0,0,0,0,0,0,0
61,150,"techno, hard techno, acid techno, tekno",72,85,0,37,25,0,0,-6,F#/G♭ Minor,4,11A,371.0,Hard Techno,0,19,2,1,1,0,0,0,0,0,0,0,0
62,155,"hard techno, acid techno, techno",64,97,3,89,33,0,10,-8,G Major,4,9B,342.0,Hard Techno,0,20,23,0,1,0,0,0,0,0,0,0,0
63,154,"hard techno, techno",54,87,34,90,43,0,10,-10,D#/E♭ Minor,4,2A,282.0,Hard Techno,0,13,8,0,0,0,0,0,0,0,0,0,0
64,148,"hard techno, techno, acid techno, tekno",67,100,0,86,4,0,10,-8,C Minor,4,5A,395.0,Hard Techno,0,7,14,1,1,0,0,0,0,0,0,0,0
65,146,"hard techno, techno",35,95,0,87,10,0,10,-7,B Major,4,1B,341.0,Hard Techno,0,4,7,0,0,0,0,0,0,0,0,0,0
66,138,"hypertechno, techno",63,82,9,7,37,0,10,-3,D Minor,4,7A,178.0,Other,3,11,18,0,0,0,0,0,0,0,0,0,0
67,135,"techno, acid techno, hard techno, tekno",80,71,0,93,5,0,30,-8,C♯/D♭ Major,4,3B,433.0,Hard Techno,0,8,11,1,1,0,0,0,0,0,0,0,0
68,138,"techno, acid techno, hard techno, tekno",79,85,0,10,49,10,10,-6,F#/G♭ Major,4,2B,273.0,Hard Techno,0,18,9,1,1,0,0,0,0,0,0,0,0
69,144,"techno, acid techno, hard techno, tekno",63,99,0,85,26,0,0,-9,F Minor,4,4A,258.0,Hard Techno,0,17,12,1,1,0,0,0,0,0,0,0,0
70,147,"techno, hard techno, acid techno, tekno",70,95,38,82,7,0,10,-7,G Major,4,9B,351.0,Hard Techno,0,20,23,1,1,0,0,0,0,0,0,0,0
71,142,"psytrance, progressive trance, trance, techno, hard techno, acid techno, tekno",77,76,0,91,39,0,10,-8,G Major,4,9B,389.0,Hard Techno,0,20,23,1,1,0,0,0,0,1,0,0,0
72,152,"hard techno, techno, acid techno, tekno, hardcore techno",49,99,0,65,4,0,10,-6,B Major,4,1B,354.0,Hard Techno,0,4,7,1,1,0,0,0,0,0,0,0,0
73,140,"big room, techno, hard techno, acid techno, hypertechno",65,98,5,68,46,0,30,-8,G Major,4,9B,236.0,Hard Techno,0,20,23,0,1,0,0,0,0,0,0,0,0
74,153,"hard techno, techno, acid techno, tekno, hardcore techno",55,99,1,82,27,0,10,-8,B Major,4,1B,404.0,Hard Techno,0,4,7,1,1,0,0,0,0,0,0,0,0
75,150,"hard techno, techno, tekno, hardcore techno, acid techno",64,100,0,83,5,0,0,-7,A#/B♭ Minor,4,3A,332.0,Hard Techno,0,3,10,1,1,0,0,0,0,0,0,0,0
76,155,"hard techno, techno, acid techno, tekno",64,99,0,60,60,0,10,-7,C♯/D♭ Major,4,3B,336.0,Hard Techno,0,8,11,1,1,0,0,0,0,0,0,0,0
77,127,"minimal techno, techno, melodic techno",80,84,0,85,8,0,0,-7,D Major,4,10B,360.0,Melodic Techno,2,10,1,0,0,0,0,0,1,0,0,0,0
78,155,"hard techno, acid techno, techno, tekno, hardcore techno",60,98,1,86,16,10,40,-5,G Major,4,9B,309.0,Hard Techno,0,20,23,1,1,0,0,0,0,0,0,0,0
79,153,"hard techno, techno, tekno, acid techno, hardcore techno",59,99,0,89,38,0,0,-7,F#/G♭ Major,4,2B,337.0,Hard Techno,0,18,9,1,1,0,0,0,0,0,0,0,0
80,160,"techno, hard techno, tekno, gabber, acid techno",56,99,0,86,94,0,10,-5,C Major,4,8B,250.0,Hard Techno,0,6,21,1,1,0,0,0,0,0,0,0,0
81,160,hard techno,55,99,0,25,51,0,30,-6,E Minor,4,9A,253.0,Hard Techno,0,15,22,0,0,0,0,0,0,0,0,0,0
82,153,"hard techno, techno, acid techno, tekno, hardcore techno",73,98,0,68,28,10,10,-3,B Major,4,1B,266.0,Hard Techno,0,4,7,1,1,0,0,0,0,0,0,0,0
83,160,"hard techno, techno, acid techno, tekno, hardcore techno",52,88,13,64,6,0,10,-6,G Major,4,9B,409.0,Hard Techno,0,20,23,1,1,0,0,0,0,0,0,0,0
84,145,"acid techno, acid house",55,93,0,88,62,0,0,-7,C♯/D♭ Major,4,3B,327.0,Hard Techno,0,8,11,0,1,0,0,0,0,0,1,0,0
85,150,"hard techno, hard house, trance",64,98,0,71,13,0,10,-6,B Minor,4,10A,310.0,Hard Techno,0,5,0,0,0,0,0,0,0,1,1,0,0
86,150,hard techno,58,91,0,74,4,0,30,-7,B Minor,4,10A,256.0,Hard Techno,0,5,0,0,0,0,0,0,0,0,0,0,0
88,138,minimal,64,87,0,96,39,0,20,-6,G Major,4,9B,115.0,Other,3,20,23,0,0,0,0,0,1,0,0,0,0
89,135,"hard techno, big room",59,99,19,72,8,0,30,-4,C♯/D♭ Major,4,3B,209.0,Hard Techno,0,8,11,0,0,0,0,0,0,0,0,0,0
90,149,"hard techno, techno, acid techno, tekno, hardcore techno",54,100,0,92,25,0,0,-3,C♯/D♭ Major,4,3B,351.0,Hard Techno,0,8,11,1,1,0,0,0,0,0,0,0,0
91,160,"trance, hard house, eurodance",68,83,13,84,85,0,10,-6,A#/B♭ Minor,4,3A,304.0,Melodic Techno,2,3,10,0,0,0,0,0,0,1,1,0,0
92,150,"hard techno, acid techno, tekno, techno, hardcore techno",48,99,1,95,48,0,0,-6,A Minor,4,8A,341.0,Hard Techno,0,1,20,1,1,0,0,0,0,0,0,0,0
93,156,"hard techno, techno, tekno, acid techno",57,93,1,70,14,0,0,-8,F Minor,4,4A,278.0,Hard Techno,0,17,12,1,1,0,0,0,0,0,0,0,0
94,145,"techno, hard techno, psytrance, acid techno, tekno",79,89,4,75,4,10,20,-6,G Minor,4,6A,218.0,Hard Techno,0,21,16,1,1,0,0,0,0,1,0,0,0
95,152,"hard techno, acid techno, techno",68,100,1,86,4,10,10,-6,F Minor,4,4A,334.0,Hard Techno,0,17,12,0,1,0,0,0,0,0,0,0,0
96,140,"hard techno, hypertechno, techno",70,48,17,55,17,0,10,-12,C♯/D♭ Major,4,3B,150.0,Hard Techno,0,8,11,0,0,0,0,0,0,0,0,0,0
97,160,"hard techno, techno, tekno, industrial, acid techno, hardcore techno",50,99,0,76,8,10,30,-5,E Minor,4,9A,300.0,Hard Techno,0,15,22,1,1,1,0,0,0,0,0,0,0
98,118,"melodic techno, children's music",92,41,0,0,73,0,0,-11,A Major,4,11B,124.0,Melodic Techno,2,0,3,0,0,0,0,0,0,0,0,0,0
99,142,trance,56,82,4,94,22,0,10,-11,C Major,4,8B,640.0,Trance,4,6,21,0,0,0,0,0,0,1,0,0,0
100,154,"techno, hard techno, acid techno",63,97,1,20,74,0,0,-7,C Minor,4,5A,316.0,Hard Techno,0,7,14,0,1,0,0,0,0,0,0,0,0
101,160,"hard techno, techno, tekno, acid techno, hypertechno",58,99,0,61,36,0,10,-4,C Major,4,8B,276.0,Hard Techno,0,6,21,1,1,0,0,0,0,0,0,0,0
102,150,"hard techno, techno, tekno",70,89,15,24,59,10,20,-6,F#/G♭ Major,4,2B,324.0,Hard Techno,0,18,9,1,0,0,0,0,0,0,0,0,0
103,124,"melodic techno, techno, melodic house",79,70,0,55,46,0,10,-7,F#/G♭ Minor,4,11A,391.0,Melodic Techno,2,19,2,0,0,0,0,0,0,0,1,0,0
104,135,"big room, techno, hard techno, acid techno, hypertechno",63,96,8,80,14,0,30,-7,D#/E♭ Major,4,5B,248.0,Hard Techno,0,12,15,0,1,0,0,0,0,0,0,0,0
105,155,"big room, techno, hard techno, acid techno, hypertechno, tekno",56,96,0,85,63,0,30,-8,B Minor,4,10A,196.0,Hard Techno,0,5,0,1,1,0,0,0,0,0,0,0,0
106,135,"techno, acid techno, hard techno, melodic techno",65,98,0,89,4,0,10,-5,D Major,4,10B,271.0,Hard Techno,0,10,1,0,1,0,0,0,0,0,0,0,0
107,150,"trance, electro house, hypertechno, psytrance, progressive trance, big room",59,87,38,0,61,0,10,-4,E Major,4,12B,128.0,Melodic Techno,2,14,5,0,0,0,0,0,0,1,1,0,0
108,127,"melodic techno, melodic house, techno, stutter house",70,73,0,36,29,0,10,-6,F#/G♭ Minor,4,11A,222.0,Melodic Techno,2,19,2,0,0,0,0,0,0,0,1,0,0
109,146,"techno, hard techno, acid techno, tekno",62,97,1,88,13,0,10,-7,G Major,4,9B,573.0,Hard Techno,0,20,23,1,1,0,0,0,0,0,0,0,0
110,154,"hard techno, acid techno, techno, tekno",46,100,0,87,69,0,30,-8,G Major,4,9B,374.0,Hard Techno,0,20,23,1,1,0,0,0,0,0,0,0,0
111,154,"hard techno, techno, acid techno, tekno",62,100,0,82,37,0,10,-6,C Minor,4,5A,374.0,Hard Techno,0,7,14,1,1,0,0,0,0,0,0,0,0
112,150,"hard techno, techno, acid techno, tekno, hardcore techno",74,95,0,51,25,20,10,-6,F#/G♭ Minor,4,11A,398.0,Hard Techno,0,19,2,1,1,0,0,0,0,0,0,0,0
113,132,"melbourne bounce, big room, techno",64,98,20,85,4,0,40,-6,C♯/D♭ Minor,4,12A,207.0,Other,3,9,4,0,0,0,0,0,0,0,0,0,0
114,138,"trance, progressive house, electronica, edm, big room",63,91,3,81,24,0,10,-7,G Major,4,9B,213.0,Melodic Techno,2,20,23,0,0,0,0,0,0,1,1,0,0
115,160,"hard techno, techno, tekno",65,99,12,92,85,0,10,-8,A Major,4,11B,123.0,Hard Techno,0,0,3,1,0,0,0,0,0,0,0,0,0
116,158,"hard techno, techno, tekno",72,99,3,0,45,10,10,-7,F#/G♭ Minor,4,11A,135.0,Hard Techno,0,19,2,1,0,0,0,0,0,0,0,0,0
117,140,"techno, hard techno",87,66,5,84,9,20,30,-8,D Major,4,10B,144.0,Hard Techno,0,10,1,0,0,0,0,0,0,0,0,0,0
118,140,techno,69,79,1,57,19,0,30,-7,F#/G♭ Minor,3,11A,145.0,Other,3,19,2,0,0,0,0,0,0,0,0,0,0
119,159,"hard techno, techno, tekno, hardcore techno, acid techno",64,84,4,83,3,0,10,-7,G#/A♭ Major,4,4B,241.0,Hard Techno,0,22,13,1,1,0,0,0,0,0,0,0,0
120,150,"hard techno, techno, acid techno, tekno, hardcore techno",67,85,61,91,4,0,0,-10,E Minor,4,9A,200.0,Hard Techno,0,15,22,1,1,0,0,0,0,0,0,0,0
121,158,"hard techno, techno, acid techno, tekno, hardcore techno",61,90,4,56,11,0,30,-8,G#/A♭ Major,4,4B,221.0,Hard Techno,0,22,13,1,1,0,0,0,0,0,0,0,0
122,160,"hard techno, techno, tekno, hardcore techno, acid techno",59,96,0,81,22,10,10,-4,F#/G♭ Minor,4,11A,273.0,Hard Techno,0,19,2,1,1,0,0,0,0,0,0,0,0
123,190,"gabber, hardcore, frenchcore, hardcore techno, speedcore, hardstyle",48,97,57,23,7,10,10,-5,C♯/D♭ Major,4,3B,293.0,Other,3,8,11,0,0,0,0,0,0,0,0,0,0
124,150,"hard techno, acid techno, techno, minimal techno",63,100,0,91,44,0,10,-3,C♯/D♭ Major,4,3B,285.0,Hard Techno,0,8,11,0,1,0,0,0,1,0,0,0,0
125,160,"hard techno, techno, tekno",63,100,0,3,4,20,10,-7,G#/A♭ Major,4,4B,289.0,Hard Techno,0,22,13,1,0,0,0,0,0,0,0,0,0
126,160,hard techno,75,98,0,66,61,0,10,-5,F Minor,4,4A,210.0,Hard Techno,0,17,12,0,0,0,0,0,0,0,0,0,0
127,155,"hard techno, techno, tekno, gabber, hardcore techno, hardcore",67,100,6,71,6,20,0,0,F Minor,4,4A,168.0,Hard Techno,0,17,12,1,0,0,0,0,0,0,0,0,0
128,160,"hard techno, techno, tekno",52,95,0,20,21,10,50,-7,A#/B♭ Minor,4,3A,267.0,Hard Techno,0,3,10,1,0,0,0,0,0,0,0,0,0
129,160,"hard house, techno, trance, hypertechno, eurodance",73,96,1,78,58,0,10,-8,B Minor,4,10A,271.0,Melodic Techno,2,5,0,0,0,0,0,0,0,1,1,0,0
131,157,"hard techno, techno, tekno, hardcore techno, acid techno",65,93,0,18,8,10,10,-7,F#/G♭ Major,4,2B,198.0,Hard Techno,0,18,9,1,1,0,0,0,0,0,0,0,0
132,160,"hard techno, techno, tekno, acid techno, hardcore techno",72,98,11,74,17,0,10,-6,E Minor,4,9A,294.0,Hard Techno,0,15,22,1,1,0,0,0,0,0,0,0,0
133,150,"techno, tekno, hard techno, acid techno, hard house",84,98,2,36,46,10,20,-6,C Minor,4,5A,179.0,Hard Techno,0,7,14,1,1,0,0,0,0,0,1,0,0
134,150,"techno, hard techno, neue deutsche welle",53,97,0,78,92,0,0,-4,A Minor,4,8A,361.0,Hard Techno,0,1,20,0,0,0,0,0,0,0,0,0,0
135,156,"hard techno, acid techno, techno",56,94,0,51,19,10,30,-6,C♯/D♭ Major,4,3B,334.0,Hard Techno,0,8,11,0,1,0,0,0,0,0,0,0,0
136,165,"hard techno, industrial",53,98,1,73,29,10,10,-7,A#/B♭ Minor,4,3A,344.0,Hard Techno,0,3,10,0,0,1,0,0,0,0,0,0,0
137,160,"hard techno, techno, hardcore techno, tekno",57,100,0,53,23,0,20,-6,D Major,4,10B,316.0,Hard Techno,0,10,1,1,0,0,0,0,0,0,0,0,0
138,160,"hard techno, techno, acid techno, tekno, hardcore techno",61,100,0,78,5,10,10,-5,C Major,4,8B,355.0,Hard Techno,0,6,21,1,1,0,0,0,0,0,0,0,0
139,147,"hard techno, techno, acid techno",57,99,0,78,5,10,60,-6,B Major,4,1B,390.0,Hard Techno,0,4,7,0,1,0,0,0,0,0,0,0,0
140,136,"techno, tech house",73,85,1,1,78,10,0,-5,D Major,4,10B,168.0,Melodic Techno,2,10,1,0,0,0,0,0,0,0,1,0,0
141,157,"hard techno, industrial, acid techno, techno",51,95,0,68,30,0,20,-7,B Minor,4,10A,348.0,Hard Techno,0,5,0,0,1,1,0,0,0,0,0,0,0
142,152,"hard techno, techno, acid techno",74,90,0,85,17,0,0,-5,C♯/D♭ Major,4,3B,344.0,Hard Techno,0,8,11,0,1,0,0,0,0,0,0,0,0
143,154,"hard techno, techno, acid techno, hardcore techno, tekno, industrial",53,99,0,62,23,10,10,-5,B Major,4,1B,375.0,Hard Techno,0,4,7,1,1,1,0,0,0,0,0,0,0
144,125,"melodic techno, melodic house, progressive house, techno",69,75,1,84,8,0,10,-7,D Major,4,10B,288.0,Melodic Techno,2,10,1,0,0,0,0,0,0,0,1,0,0
145,180,"hard techno, techno, tekno, acid techno",68,99,0,80,4,20,30,-4,G Major,4,9B,588.0,Hard Techno,0,20,23,1,1,0,0,0,0,0,0,0,0
146,152,"hard techno, techno, acid techno, tekno, hardcore techno",66,99,0,84,23,0,10,-6,A Major,3,11B,286.0,Hard Techno,0,0,3,1,1,0,0,0,0,0,0,0,0
147,150,"bass house, moombahton, edm trap",67,99,0,88,48,0,0,-2,G Major,4,9B,188.0,Melodic Techno,2,20,23,0,0,0,0,0,0,0,1,1,0
148,144,hard house,84,83,0,5,44,10,10,-7,A#/B♭ Minor,4,3A,270.0,Melodic Techno,2,3,10,0,0,0,0,0,0,0,1,0,0
149,150,"big room, trance, techno, hard techno, acid techno, tekno",54,89,1,66,5,0,40,-8,E Minor,4,9A,211.0,Hard Techno,0,15,22,1,1,0,0,0,0,1,0,0,0
150,136,"trance, techno, acid techno, hard techno, tekno",64,95,0,52,41,0,10,-6,G Major,4,9B,278.0,Hard Techno,0,20,23,1,1,0,0,0,0,1,0,0,0
152,155,"hard techno, techno, acid techno, tekno",69,85,1,86,4,20,10,-5,C♯/D♭ Major,4,3B,291.0,Hard Techno,0,8,11,1,1,0,0,0,0,0,0,0,0
153,155,"hard techno, techno, acid techno, tekno, hardcore techno",58,99,1,35,25,10,30,-6,E Minor,4,9A,354.0,Hard Techno,0,15,22,1,1,0,0,0,0,0,0,0,0
154,152,"hard techno, acid techno, techno, tekno",47,100,0,4,16,0,10,-7,B Minor,4,10A,367.0,Hard Techno,0,5,0,1,1,0,0,0,0,0,0,0,0
155,155,"hard techno, techno, tekno, acid techno, hardcore techno",58,99,1,73,51,0,30,-6,G Major,3,9B,329.0,Hard Techno,0,20,23,1,1,0,0,0,0,0,0,0,0
